host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Mandrillus leucophaeus	Mandrillus	leucophaeus		EN	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Mandrillus sphinx	Mandrillus	sphinx		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Mephitis mephitis	Mephitis	mephitis		LC	Carnivora	Mephitidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Miopithecus ogouensis	Miopithecus	ogouensis		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		16	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Mungos mungo	Mungos	mungo		LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Mustela lutreola	Mustela	lutreola		CR	Carnivora	Mustelidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ovis aries	Ovis	aries		NA	Cetartiodactyla	Bovidae	"Europe; Asia"	Europe	yes			IV	Flaviviridae	flaviviruses		34	<=50	0	domestic	2002-2019	2002	2019			Constant et al, 2020	2020	3	PVL	ok	2022
Ovis aries cameroon	Ovis	aries	cameroon	NA	Cetartiodactyla	Bovidae	Africa	Europe	no			IV	Flaviviridae	flaviviruses		4	<=5	0	domestic	2002-2019	2002	2019			Constant et al, 2020	2020	3	PVL	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Nasua nasua	Nasua	nasua		LC	Carnivora	Procyonidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Nomascus gabriellae	Nomascus	gabriellae		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Nycticebus pygmaeus	Nycticebus	pygmaeus		EN	Primates	Lorisidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	"Asia; Africa"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ovis aries musimon	Ovis	aries	musimon	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		8	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Pan troglodytes	Pan	troglodytes		EN	Primates	Hominidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		25	<=50	2	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		9	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera leo bleyenberghi	Panthera	leo	bleyenberghi	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera leo leo	Panthera	leo	leo	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera onca	Panthera	onca		NT	Carnivora	Felidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	1	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera pardus kotiya	Panthera	pardus	kotiya	VU	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		8	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera pardus	Panthera	pardus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cercopithecus mitis	Cercopithecus	mitis		LC	Primates	Cercopithecidae	Africa	Africa	yes			VI	Retroviridae	simian immunodeficiency virus	SIVsyk173	109	>50	51	wild	1981-1996	1981	1996			Ellis et al, 2004	2004	1	PVL	ok	2022
Panthera tigris tigris	Panthera	tigris	tigris	EN	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Panthera tigris sumatrae	Panthera	tigris	sumatrae	EN	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Papio anubis	Papio	anubis		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		8	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Papio cynocephalus	Papio	cynocephalus		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Pecari tajacu	Pecari	tajacu		LC	Cetartiodactyla	Tayassuidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Philantomba monticola	Philantomba	monticola		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Pongo pygmaeus	Pongo	pygmaeus		CR	Primates	Hominidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		11	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Potamochoerus porcus pictus	Potamochoerus	porcus	pictus	LC	Cetartiodactyla	Suidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Potos flavus	Potos	flavus		LC	Carnivora	Procyonidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Procyon lotor	Procyon	lotor		LC	Carnivora	Procyonidae	North America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Rusa alfredi	Rusa	alfredi		EN	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Saguinus midas	Saguinus	midas		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Sapajus apella	Sapajus	apella		LC	Primates	Cebidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Suricata suricatta	Suricata	suricatta		LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Sus scrofa	Sus	scrofa		LC	Cetartiodactyla	Suidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Syncerus caffer nanus	Syncerus	caffer	nanus	NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Tapirus indicus	Tapirus	indicus		EN	Perissodactyla	Tapiridae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	1	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Tragelaphus euryceros	Tragelaphus	euryceros		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	1	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		12	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ursus arctos	Ursus	arctos		LC	Carnivora	Ursidae	North America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Varecia rubra	Varecia	rubra		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Varecia variegata	Varecia	variegata		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	2	PVL	ok	2022
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		9	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Ailuropoda melanoleuca	Ailuropoda	melanoleuca		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Ailurus fulgens fulgens	Ailurus	fulgens	fulgens	EN	Carnivora	Ailuridae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Alces alces	Alces	alces		LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		13	<=50	7	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Aonyx cinereus	Aonyx	cinereus		VU	Carnivora	Mustelidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Arctictis binturong	Arctictis	binturong		VU	Carnivora	Viverridae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Babyrousa babyrussa	Babyrousa	babyrussa		VU	Cetartiodactyla	Suidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	2	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Bos javanicus	Bos	javanicus		EN	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Bos mutus	Bos	mutus		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Boselaphus tragocamelus	Boselaphus	tragocamelus		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Budorcas taxicolor	Budorcas	taxicolor		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Camelus dromedarius	Camelus	dromedarius		LC	Cetartiodactyla	Camelidae	"Africa; Asia"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		5	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Canis lupus signatus	Canis	lupus	signatus	EN	Carnivora	Canidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		16	<=50	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Capra aegagrus hircus	Capra	aegagrus	hircus	NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Capra pyrenaica	Capra	pyrenaica		LC	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		10	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Ceratotherium simum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		5	<=5	2	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Cervus elaphus hispanicus	Cervus	elaphus	hispanicus	LC	Cetartiodactyla	Cervidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		12	<=50	7	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Crocuta crocuta	Crocuta	crocuta		LC	Carnivora	Hyaenidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		6	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Cryptoprocta ferox	Cryptoprocta	ferox		VU	Carnivora	Eupleridae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Cuon alpinus	Cuon	alpinus		EN	Carnivora	Canidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Damaliscus pygargus	Damaliscus	pygargus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		7	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	1	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		5	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Eudorcas thomsonii	Eudorcas	thomsonii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		14	<=50	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	"Africa; Asia"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Genetta genetta	Genetta	genetta		LC	Carnivora	Viverridae	"Europe; Africa; Asia"	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Giraffa camelopardalis rothschieldii	Giraffa	camelopardalis	rothschieldii	VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Helarctos malayanus	Helarctos	malayanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Hydrictis maculicollis	Hydrictis	maculicollis		NT	Carnivora	Mustelidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Leptailurus serval	Leptailurus	serval		LC	Carnivora	Felidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		4	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		9	<=10	4	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Lutra lutra	Lutra	lutra		NT	Carnivora	Mustelidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Lynx lynx	Lynx	lynx		LC	Carnivora	Felidae	"Europe; Asia"	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		8	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Macropus rufogriseus	Macropus	rufogriseus		LC	Diprotodontia	Macropodidae	Oceania	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Mephitis mephitis	Mephitis	mephitis		LC	Carnivora	Mephitidae	"North America; South America"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Mungos mungo	Mungos	mungo		LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Nasua nasua	Nasua	nasua		LC	Carnivora	Procyonidae	"North America; South America"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	"Asia; Africa"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Ovis aries musimon	Ovis	aries	musimon	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	V	Bunyaviridae	schmallenberg virus		8	<=10	3	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		7	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Panthera leo bleyenberghi	Panthera	leo	bleyenberghi	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		3	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Panthera leo leo	Panthera	leo	leo	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		2	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Panthera onca	Panthera	onca		NT	Carnivora	Felidae	"North America; South America"	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Panthera pardus kotiya	Panthera	pardus	kotiya	VU	Carnivora	Felidae	Asia	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		8	<=10	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
Canis latrans	Canis	latrans		LC	Carnivora	Canidae	North America	North America	yes	zoo	no	IV	Flaviviridae	west nile virus		3	<=5	1	captive	2003-2004	2003	2004	1	not_specified	Farfan Ale et al, 2006	2006	1	PVL	ok	2022
Panthera pardus	Panthera	pardus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	V	Bunyaviridae	schmallenberg virus		1	<=5	0	captive	2002-2019	2002	2019	10	anesthetized	Caballero Gomez et al, 2020 b	2020	2	PVL	ok	2022
